Mission,Character,AutoGender,ShepardGender,Paragon,Renegade,Text
Background and Psych Profile,"Starting Paragon and Renegade Points
",,,20,,Spacer/War Hero 20 Paragon
Background and Psych Profile,"Starting Paragon and Renegade Points
",,,15,,Colonist/War Hero 15 Paragon
Background and Psych Profile,"Starting Paragon and Renegade Points
",,,10,,Earthborn/War Hero 10 Paragon
Background and Psych Profile,"Starting Paragon and Renegade Points
",,,15,5,"Spacer/Sole Survivor 15 Paragon, 5 Renegade"
Background and Psych Profile,"Starting Paragon and Renegade Points
",,,10,10,"Colonist/Sole Survivor 10 Paragon, 10 Renegade"
Background and Psych Profile,"Starting Paragon and Renegade Points
",,,5,15,"Earthborn/Sole Survivor 5 Paragon, 15 Renegade"
Background and Psych Profile,"Starting Paragon and Renegade Points
",,,,10,Spacer/Ruthless 10 Renegade
Background and Psych Profile,"Starting Paragon and Renegade Points
",,,,15,Colonist/Ruthless 15 Renegade
Background and Psych Profile,"Starting Paragon and Renegade Points
",,,,20,Earthborn/Ruthless 20 Renegade
Prologue: Find the Beacon,"Joker and Kaidan
",Joker::male; Kaidan::male,,2,,"2 Paragon for saying ""I agree."""
Prologue: Find the Beacon,"Joker and Kaidan
",Joker::male; Kaidan::male,,,2,"2 Renegade for saying ""Cut the chatter!"""
Prologue: Find the Beacon,"Richard L. Jenkins and Doctor Chakwas
",Richard L. Jenkins::male; Doctor Chakwas::female,,2,,"2 Paragon for saying ""Relax, Jenkins."""
Prologue: Find the Beacon,"Richard L. Jenkins and Doctor Chakwas
",Richard L. Jenkins::male; Doctor Chakwas::female,,,2,"2 Renegade for saying ""Part of the job, Doc."""
Prologue: Find the Beacon,"First Contact
",,,2,,"2 Paragon for saying ""He deserves a burial."""
Prologue: Find the Beacon,"First Contact
",,,,2,"2 Renegade for saying ""Forget about him."""
Prologue: Find the Beacon,"Ashley Williams
",Ashley Williams::female,,2,,"2 Paragon for saying ""Are you okay?""
plus (be sure to ask Ashley what happened to her squad to get these options)"
Prologue: Find the Beacon,"Ashley Williams
",Ashley Williams::female,,2,,"2 Paragon for saying ""Don't blame yourself."""
Prologue: Find the Beacon,"Ashley Williams
",Ashley Williams::female,,,2,"2 Renegade for saying ""You abandoned them.""
plus"
Prologue: Find the Beacon,"Ashley Williams
",Ashley Williams::female,,,2,"2 Renegade for saying ""Fine, come with us."" (Must first say ""Stay here."")"
Prologue: Find the Beacon,"Manuel and Dr. Warren
",Manuel::male; Dr. Warren::female,,2,,"2 Paragon for saying ""You're safe.""
plus"
Prologue: Find the Beacon,"Manuel and Dr. Warren
",Manuel::male; Dr. Warren::female,,,9,9 Renegade for shutting up Manuel
Prologue: Find the Beacon,"Cole and his fellow colonists
",Cole::male,,2,,"2 Paragon for saying ""It's safe.""
plus"
Prologue: Find the Beacon,"Cole and his fellow colonists
",Cole::male,,,2,"2 Renegade for Intimidating ""You're holding out on me."" need 1 Intimidate
plus"
Prologue: Find the Beacon,"Cole and his fellow colonists
",Cole::male,,2,,"2 Paragon for Charming ""He may know something."" need 2 Charm"
Prologue: Find the Beacon,"Cole and his fellow colonists
",Cole::male,,,2,"2 Renegade for Intimidating ""Is he worth dying for?"" need 2 Intimidate"
Prologue: Find the Beacon,"The Smuggler
",,,2,,"2 Paragon for saying ""Let it go, Williams."" (Must have gotten Powell's name from the Farmers)
plus"
Prologue: Find the Beacon,"The Smuggler
",,,,2,"2 Renegade for Intimidating ""You're lying!"" need 3 Intimidate"
Prologue: Find the Beacon,"Kaidan back on the SSV Normandy (if Shepard is female)
",SSV Normandy::,,2,,"2 Paragon for saying ""You helped."""
Prologue: Find the Beacon,"Kaidan back on the SSV Normandy (if Shepard is female)
",SSV Normandy::,,,2,"2 Renegade for saying ""The mission failed."""
Prologue: Find the Beacon,"Ashley back on the Normandy
",,,2,,"2 Paragon for saying ""You helped."""
Prologue: Find the Beacon,"Ashley back on the Normandy
",,,,2,"2 Renegade for saying ""The mission failed."""
Citadel: Expose Saren,"Arrival at the Citadel
",Citadel::,,,2,"2 Renegade for saying ""They're blind."""
Citadel: Expose Saren,"Go to the Tower
",,,2,,"2 Paragon for saying ""Quit protecting him!"""
Citadel: Expose Saren,"Citadel: Garrus
",Citadel: Garrus::,,2,,"2 Paragon for saying ""It was a big risk."""
Citadel: Expose Saren,"Citadel: Garrus
",Citadel: Garrus::,,,2,"2 Renegade for saying ""Nice shot."""
Citadel: Expose Saren,"Take Down Fist (need charm/intimidate points, otherwise the workers will attack you no matter how fast you are)
",Fist::,,2,,"2 Paragon for Charming ""Save yourselves."" need 3 Charm"
Citadel: Expose Saren,"Take Down Fist (need charm/intimidate points, otherwise the workers will attack you no matter how fast you are)
",Fist::,,,2,"2 Renegade for Intimidating ""You're making a mistake."" need 3 Intimidate
plus"
Citadel: Expose Saren,"Take Down Fist (need charm/intimidate points, otherwise the workers will attack you no matter how fast you are)
",Fist::,,,2,"2 Renegade for saying ""You don't deserve to live."" (if Wrex isn't in the squad)"
Citadel: Expose Saren,"Take Down Fist (need charm/intimidate points, otherwise the workers will attack you no matter how fast you are)
",Fist::,,,2,"2 Renegade for saying ""He deserved it."" (if Wrex is in the squad)"
Citadel: Expose Saren,"Return to the Tower
",,,2,,"2 Paragon for saying ""It's the best solution."""
Citadel: Expose Saren,"Return to the Tower
",,,,2,"2 Renegade for saying ""Quit holding us back!"""
Citadel: Expose Saren,"Speak to the Ambassador
",,,2,,"2 Paragon for saying ""I'll be careful."""
Citadel: Expose Saren,"Speak to the Ambassador
",,,,2,"2 Renegade for saying ""That's your job."""
Citadel: Expose Saren,"Departing Speech
",,,2,,"2 Paragon for saying ""Humanity must do its part."""
Citadel: Expose Saren,"Departing Speech
",,,,2,"2 Renegade for saying ""Nobody's going to help us.""
plus"
Citadel: Expose Saren,"Departing Speech
",,,2,,"2 Paragon for saying ""Everyone is counting on us."""
Citadel: Expose Saren,"Departing Speech
",,,,2,"2 Renegade for saying ""Humanity's in this alone!"""
Citadel: Expose Saren,"Navigator Pressly
Note: You can choose both responses only if you choose the Paragon response first.
",Navigator Pressly::male,,2,,"2 Paragon for saying ""They're on our side.""
plus"
Citadel: Expose Saren,"Navigator Pressly
Note: You can choose both responses only if you choose the Paragon response first.
",Navigator Pressly::male,,,2,"2 Renegade for saying ""You doubt my decisions?"""
Citadel: Assignments,Citadel: Asari Consort,Citadel: Asari Consort::,,2,,"2 Paragon for saying ""Glad to help."""
Citadel: Assignments,Citadel: Asari Consort,Citadel: Asari Consort::,,,2,"2 Renegade for saying ""Let's talk payment."""
Citadel: Assignments,Citadel: Doctor Michel,Citadel: Doctor Michel::,,2,,"2 Paragon for saying ""Let's work this out."""
Citadel: Assignments,Citadel: Doctor Michel,Citadel: Doctor Michel::,,8,,"8 Paragon for Charming ""You should reconsider."" need 6 Charm"
Citadel: Assignments,Citadel: Doctor Michel,Citadel: Doctor Michel::,,,2,"2 Renegade for saying ""Kill him."""
Citadel: Assignments,Citadel: Doctor Michel,Citadel: Doctor Michel::,,,9,"9 Renegade for Intimidating ""Talk and you're dead!"" need 3 Intimidate"
Citadel: Assignments,"3rd encounter:
",,,8,,"8 Paragon for Charming ""It's not that easy,"" ""There are other fights,"" or ""Let's talk about trust."" need 2 Charm"
Citadel: Assignments,"3rd encounter:
",,,,9,"9 Renegade for Intimidating ""That's a load of crap,"" ""There are no good fights,"" or ""Here's a test."" need 2 Intimidate"
Citadel: Assignments,"Clerk Bosker
",,,8,,"8 Paragon for Charming ""This isn't right."" need 2 Charm"
Citadel: Assignments,"Clerk Bosker
",,,,9,"9 Renegade for Intimidating ""I'm releasing the body."" need 2 Intimidate"
Citadel: Assignments,"Explanation to Samesh if his wife's body isn't released
",,,8,,"8 Paragon for Charming ""This is important."" need 3 Charm"
Citadel: Assignments,"Explanation to Samesh if his wife's body isn't released
",,,,9,"9 Renegade for Intimidating ""This is war."" need 3 Intimidate"
Citadel: Assignments,"To Chorban in the Markets:
",Chorban::,,,9,"9 Renegade for saying ""You're not leaving."" (not previously received ""Citadel: Scan the Keepers"" from Chorban)"
Citadel: Assignments,"To Chorban in the Markets:
",Chorban::,,8,,"8 Paragon for saying ""No more."" (previously received ""Citadel: Scan the Keepers"" from Chorban)
plus"
Citadel: Assignments,"To Jahleed at C-Sec Academy:
",Jahleed::masculine,,8,,"8 Paragon for Charming ""Then do it legally."" need 7 Charm"
Citadel: Assignments,"To Jahleed at C-Sec Academy:
",Jahleed::masculine,,,2,"2 Renegade for Intimidating ""Take it back!"" need 6 Intimidate"
Citadel: Assignments,"To the hanar:
",,,8,,"8 Paragon for Charming ""This is unworthy of you."" need 4 Charm"
Citadel: Assignments,"To the hanar:
",,,,9,"9 Renegade for Intimidating ""This is dangerous."" need 4 Intimidate"
Citadel: Assignments,"To the officer:
",,,8,,"8 Paragon for Charming ""It's not causing trouble."" need 7 Charm"
Citadel: Assignments,"To the officer:
",,,,9,"9 Renegade for Intimidating ""There's trouble anyway."" need 6 Intimidate"
Citadel: Assignments,"If previously spoken to Emily Wong before dealing with Fist:
",Emily Wong::female; Fist::,,,2,"2 Renegade for Intimidating ""You owe me more."" need 2 Intimidate"
Citadel: Assignments,Citadel: Rita's Sister,Citadel: Rita's Sister::,,2,,"2 Paragon for Charming ""You don't need her."" need 7 Charm"
Citadel: Assignments,Citadel: Rita's Sister,Citadel: Rita's Sister::,,,2,"2 Renegade for Intimidating ""Pathetic."" need 6 Intimidate
plus"
Citadel: Assignments,Citadel: Rita's Sister,Citadel: Rita's Sister::,,8,,8 Paragon for returning the shipment to Chellick
Citadel: Assignments,Citadel: Rita's Sister,Citadel: Rita's Sister::,,,9,9 Renegade for fighting Jax
Citadel: Assignments,Citadel: Xeltan's Complaint,Citadel: Xeltan's Complaint::,,2,,"2 Paragon for saying ""Don't worry."""
Citadel: Assignments,UNC: Hostile Takeover,UNC: Hostile Takeover::,,8,,"8 Paragon for saying ""No. I won't do this."""
Citadel: Assignments,UNC: Hostile Takeover,UNC: Hostile Takeover::,,,2,"2 Renegade for saying ""Not a problem"" or ""I'll do it""
plus"
Citadel: Assignments,UNC: Hostile Takeover,UNC: Hostile Takeover::,,2,,"2 Paragon for saying ""You're under arrest."""
Citadel: Assignments,UNC: Hostile Takeover,UNC: Hostile Takeover::,,8,,"8 Paragon for Charming ""Walk away."" need 10 Charm"
Citadel: Assignments,UNC: Hostile Takeover,UNC: Hostile Takeover::,,,2,"2 Renegade for saying ""Then we're fine."""
Citadel: Assignments,UNC: Hostile Takeover,UNC: Hostile Takeover::,,,2,"2 Renegade for saying ""You better stay clean."""
Citadel: Assignments,UNC: Hostile Takeover,UNC: Hostile Takeover::,,,9,"9 Renegade for Intimidating ""Disband the group."" need 7 Intimidate"
Citadel: Assignments,UNC: Privateers,UNC: Privateers::,,2,,"2 Paragon for saying ""I'll do it."""
Citadel: Assignments,UNC: Privateers,UNC: Privateers::,,,2,"2 Renegade for saying ""Forget it.""
plus"
Citadel: Assignments,UNC: Privateers,UNC: Privateers::,,2,,"2 Paragon for saying ""This must be hard on you."""
Citadel: Assignments,UNC: Privateers,UNC: Privateers::,,,2,"2 Renegade for saying ""You were fooling yourself."""
Citadel: Assignments (after 1 plot world),Citadel: Family Matter,Citadel: Family Matter::,,8,,"8 Paragon for Charming ""It's still her choice."" need 2 Charm"
Citadel: Assignments (after 1 plot world),Citadel: Family Matter,Citadel: Family Matter::,,8,,"8 Paragon for Charming ""It's worth it."" need 3 Charm"
Citadel: Assignments (after 1 plot world),Citadel: Family Matter,Citadel: Family Matter::,,,9,"9 Renegade for Intimidating ""You're not helping."" need 3 Intimidate"
Citadel: Assignments (after 1 plot world),Citadel: Family Matter,Citadel: Family Matter::,,,9,"9 Renegade for Intimidating ""Think of the child."" need 2 Intimidate"
Citadel: Assignments (after 1 plot world),Citadel: Planting a Bug,Citadel: Planting a Bug::,,2,,"2 Paragon for saying ""It's a good cause."" or ""You're welcome."""
Citadel: Assignments (after 1 plot world),Citadel: Planting a Bug,Citadel: Planting a Bug::,,8,,"8 Paragon for Charming ""I've changed my mind."" need 4 Charm"
Citadel: Assignments (after 1 plot world),Citadel: Planting a Bug,Citadel: Planting a Bug::,,,9,"9 Renegade for Intimidating ""[LIE] I already did it."" need 5 Intimidate"
Citadel: Assignments (after 1 plot world),Citadel: The Fourth Estate,Citadel: The Fourth Estate::,,2,,"2 Paragon for saying ""This interview is over."""
Citadel: Assignments (after 1 plot world),Citadel: The Fourth Estate,Citadel: The Fourth Estate::,,8,,"8 Paragon for Charming ""The turians helped build it."" then ""The crew is still Alliance."" need 6 Charm"
Citadel: Assignments (after 1 plot world),Citadel: The Fourth Estate,Citadel: The Fourth Estate::,,,2,"2 Renegade for saying ""Time to shut you up."""
Citadel: Assignments (after 1 plot world),Citadel: The Fourth Estate,Citadel: The Fourth Estate::,,2,9,"9 Renegade for Intimidating ""A great human innovation."" then ""I command the Normandy."" need 5 Intimidate (Note: If you then use ""This interview is over."" or ""Time to shut you up."" for the next question, you do not get these points, only the above given 2 Paragon or 2 Renegade, respectively. The 2 Paragon or 2 Renegade points are awarded immediately at the end of the interview, however the points for Intimidating/Charming aren't awarded until speaking with Admiral Hackett at the Normandy's Galaxy Map."
Citadel: Assignments (after 1 plot world),Citadel: Snap Inspection,Citadel: Snap Inspection::,,2,,"2 Paragon for Charming ""We need to build bridges."" need 9 Charm"
Citadel: Assignments (after 1 plot world),Citadel: Snap Inspection,Citadel: Snap Inspection::,,,2,"2 Renegade for Intimidating ""We need to kick ass."" need 9 Intimidate"
Citadel: Assignments (after 1 plot world),Citadel: Snap Inspection,Citadel: Snap Inspection::,,,2,"2 Renegade for saying ""I don't think so,"" then ""I'm afraid so."" or ""Damn right I did."""
Citadel: Assignments (after 1 plot world),"Note: This assignment can be completed if Shepard goes directly to Sharjila, thus skipping this section's requirement of having finished one mission.
",Sharjila::,,2,,"2 Paragon for saying ""Don't bother."""
Citadel: Assignments (after 1 plot world),"Note: This assignment can be completed if Shepard goes directly to Sharjila, thus skipping this section's requirement of having finished one mission.
",Sharjila::,,,2,"2 Renegade for saying ""It better be."""
After 2 Plot Worlds,"After 2 plot worlds the Council contacts you
",,,2,,"2 Paragon for saying ""Good.""
plus"
After 2 Plot Worlds,"After 2 plot worlds the Council contacts you
",,,,2,"2 Renegade for saying ""I don't have time for this."" then ""This is my investigation!"""
Noveria: Geth Interest,"Port Hanshan Docking Bay
",,,2,,"2 Paragon for saying ""We'll cooperate.""
plus"
Noveria: Geth Interest,"Port Hanshan Docking Bay
",,,,2,"2 Renegade for saying ""I'm keeping my gun."""
Noveria: Geth Interest,"Talking with Maeko Matsuo after speaking with Gianna Parasini
",Maeko Matsuo::female; Gianna Parasini::female,,2,,"2 Paragon for saying ""Forget about it."""
Noveria: Geth Interest,"Talking with Maeko Matsuo after speaking with Gianna Parasini
",Maeko Matsuo::female; Gianna Parasini::female,,,2,"2 Renegade for saying ""Humiliating, wasn't it?"""
Noveria: Geth Interest,"You need either 6 Charm or 4 Intimidate to get Opold to tell you who the recipient is before you can sell it to Inamorda
",Opold::; Inamorda::,,,2,2 Renegade for selling the package directly to Inamorda
Noveria: Geth Interest,Noveria: Espionage,Noveria: Espionage::,,8,,"Refuse the job
8 Paragon for saying ""Not this time."" (ends the mission)"
Noveria: Geth Interest,Noveria: Espionage,Noveria: Espionage::,,8,,"8 Paragon for saying ""Not this time."" (ends the mission)"
Noveria: Geth Interest,Noveria: Espionage,Noveria: Espionage::,,2,2,"Take the job
2 Paragon for saying ""This is wrong.""
2 Renegade for saying ""It's done."""
Noveria: Geth Interest,Noveria: Espionage,Noveria: Espionage::,,2,,"2 Paragon for saying ""This is wrong."""
Noveria: Geth Interest,Noveria: Espionage,Noveria: Espionage::,,,2,"2 Renegade for saying ""It's done."""
Noveria: Geth Interest,Noveria: Espionage,Noveria: Espionage::,,2,2,"Tell Rafael Vargas ""An asari asked me to spy.""
2 Paragon for saying ""I told him about you.""
2 Renegade for saying ""You're both irritating.""
9 Renegade for saying ""[LIE] It's done"""
Noveria: Geth Interest,Noveria: Espionage,Noveria: Espionage::,,2,,"2 Paragon for saying ""I told him about you."""
Noveria: Geth Interest,Noveria: Espionage,Noveria: Espionage::,,,2,"2 Renegade for saying ""You're both irritating."""
Noveria: Geth Interest,Noveria: Espionage,Noveria: Espionage::,,,9,"9 Renegade for saying ""[LIE] It's done"""
Noveria: Geth Interest,"Synthetic Insights break-in
",Synthetic Insights::,,8,,"8 Paragon for Charming ""You're here illegally."" need 6 Charm"
Noveria: Geth Interest,"Synthetic Insights break-in
",Synthetic Insights::,,,9,"9 Renegade for Intimidating ""You can't take us."" need 8 Intimidate"
Noveria: Geth Interest,"Confrontation with Kaira Stirling
",Kaira Stirling::,,2,,"2 Paragon for saying ""They didn't give me a choice."""
Noveria: Geth Interest,"Confrontation with Kaira Stirling
",Kaira Stirling::,,,2,"2 Renegade for saying ""Bring it on."""
Noveria: Geth Interest,"Convincing Lorik Qui'in to testify
",Lorik Qui'in::male,,24,,"24 Paragon for Charming ""You'd be a hero."" need 5 Charm"
Noveria: Geth Interest,"Convincing Lorik Qui'in to testify
",Lorik Qui'in::male,,,25,"25 Renegade for Intimidating ""Damn right I will."" need 5 Intimidate"
Noveria: Geth Interest,"Talk to Administrator Anoleis
",Administrator Anoleis::male,,,25,"25 Renegade for saying ""Gianna is investigating you."""
Noveria: Geth Interest,"Talk to Administrator Anoleis
",Administrator Anoleis::male,,,9,"After saying ""No. You're guilty"" or ""What do I get out of this?""
9 Renegade for making a deal with Anoleis"
Noveria: Geth Interest,"Talk to Administrator Anoleis
",Administrator Anoleis::male,,,9,9 Renegade for making a deal with Anoleis
Noveria: Geth Interest,"Talk to Gianna if you don't make a deal with Anoleis or were able to keep the evidence
",,,8,,"8 Paragon for saying ""I convinced Qui'in.""
plus talk to Matsuo"
Noveria: Geth Interest,"Talk to Gianna if you don't make a deal with Anoleis or were able to keep the evidence
",,,2,,"2 Paragon for saying ""He was a criminal."""
Noveria: Geth Interest,"Talk to Gianna if you don't make a deal with Anoleis or were able to keep the evidence
",,,,2,"2 Renegade for saying ""Your opinion doesn't matter."""
Noveria: Matriarch Benezia,"Talking to Captain Ventralis
",Captain Ventralis::,,2,,"2 Paragon for saying ""I'll see what I can do."""
Noveria: Matriarch Benezia,"Talking to Captain Ventralis
",Captain Ventralis::,,,2,"2 Renegade for saying ""I'm not here to help.""
plus"
Noveria: Matriarch Benezia,"Talking to Captain Ventralis
",Captain Ventralis::,,2,,"2 Paragon for saying ""No problem."""
Noveria: Matriarch Benezia,"Talking to Captain Ventralis
",Captain Ventralis::,,,2,"2 Renegade for running without fighting and saying ""You're welcome."" or ""You couldn't handle it?"""
Noveria: Matriarch Benezia,"The Rachni Queen
",Rachni Queen::female,,24,,24 Paragon for letting her go
Noveria: Matriarch Benezia,"The Rachni Queen
",Rachni Queen::female,,,25,25 Renegade for killing her
Noveria: Matriarch Benezia,"Report to the Council
",,,2,2,"Queen freed:
2 Paragon for saying ""They won't.""
2 Renegade for saying ""Should I guess?""
2 Paragon for saying ""Not these ones."""
Noveria: Matriarch Benezia,"Report to the Council
",,,2,,"2 Paragon for saying ""They won't."""
Noveria: Matriarch Benezia,"Report to the Council
",,,2,2,"2 Renegade for saying ""Should I guess?""
2 Paragon for saying ""Not these ones."""
Noveria: Matriarch Benezia,"Report to the Council
",,,2,,"2 Paragon for saying ""Not these ones."""
Noveria: Matriarch Benezia,"Report to the Council
",,,2,2,"Queen killed:
2 Paragon for saying ""It was the only way.""
2 Renegade for saying ""Sometimes."""
Noveria: Matriarch Benezia,"Report to the Council
",,,2,,"2 Paragon for saying ""It was the only way."""
Noveria: Matriarch Benezia,"Report to the Council
",,,,2,"2 Renegade for saying ""Sometimes."""
