Mission,Character,AutoGender,ShepardGender,Paragon,Renegade,Text
Noveria: Matriarch Benezia,Noveria: Quarantine,Noveria: Quarantine::,,24,,24 Paragon for completing the mission
Feros: Geth Attack,"Inform Fai Dan
",Fai Dan::male,,2,,"2 Paragon for saying ""Happy to help."""
Feros: Geth Attack,"Inform Fai Dan
",Fai Dan::male,,,2,"2 Renegade for saying ""I didn't do it for you."""
Feros: Geth Attack,"Talking to Calantha Blake
",Calantha Blake::,,2,,"2 Paragon for saying ""What's wrong?"""
Feros: Geth Attack,"Talking to Calantha Blake
",Calantha Blake::,,,2,"2 Renegade for saying ""I hope you're not contagious."""
Feros: Geth Attack,"Talking to Ian Newstead in the tunnels
",Ian Newstead::,,2,,"2 Paragon for saying ""Can I help?"""
Feros: Geth Attack,"Talking to Ian Newstead in the tunnels
",Ian Newstead::,,,2,"2 Renegade for saying ""Kill him."""
Feros: Geth Attack,Feros: Geth in the Tunnels,Feros: Geth in the Tunnels::,,8,,8 Paragon for completing the mission
Feros: Geth Attack,Feros: Power Cells,Feros: Power Cells::,,8,,8 Paragon for completing the mission
Feros: Geth Attack,Feros: Varren Meat,Feros: Varren Meat::,,8,,8 Paragon for completing the mission
Feros: Geth Attack,Feros: Varren Meat,,,,2,"2 Renegade for saying ""Just pay up."""
Feros: Geth Attack,Feros: Water Restoration,Feros: Water Restoration::,,8,,8 Paragon for completing the mission
Feros: The Thorian,"Exit ExoGeni
",,,2,,"2 Paragon for saying ""I believe you,"""
Feros: The Thorian,"Exit ExoGeni
",,,,2,"2 Renegade for saying ""I don't care."""
Feros: The Thorian,"Speak with Jeong
",,,24,,"24 Paragon for Charming ""What about the big picture?"" need 12 Charm"
Feros: The Thorian,"Speak with Jeong
",,,2,25,"25 Renegade for Intimidating ""I'll kill you first."" need 10 Intimidate
2 Paragon for saying ""Sounds logical.""
2 Renegade for saying ""Can't take that chance."""
Feros: The Thorian,"Speak with Jeong
",,,2,,"2 Paragon for saying ""Sounds logical."""
Feros: The Thorian,"Speak with Jeong
",,,,2,"2 Renegade for saying ""Can't take that chance."""
Feros: The Thorian,"Speak with Jeong
",,,2,,2 Paragon for accepting the grenades
Feros: The Thorian,"Speak with Jeong
",,,,2,"2 Renegade for saying ""No."" (you still get the grenades)"
Feros: The Thorian,"Minimize Casualties (16)
",,,32,,2-32 Paragon 2 for each colonist saved
Feros: The Thorian,"Minimize Casualties (16)
",,,,32,2-32 Renegade 2 for each colonist killed
Feros: The Thorian,"The Thorian
",Thorian::,,2,,"2 Paragon for saying ""Let the colonists go."""
Feros: The Thorian,"The Thorian
",Thorian::,,,2,"2 Renegade for saying ""I'll destroy you.""
plus"
Feros: The Thorian,"The Thorian
",Thorian::,,8,,8 Paragon for mission completion
Feros: The Thorian,"Shiala
",Shiala::feminine,,,9,"9 Renegade for saying ""I can't let you live."""
Feros: The Thorian,"Report to the Council
",,,2,,"2 Paragon for saying ""I help everyone."""
Feros: The Thorian,"Report to the Council
",,,2,2,"2 Renegade for saying ""Don't be stupid!""
2 Paragon for saying ""I understood it.""
2 Paragon for saying ""I help everyone."" (if you saved the colonists) or ""I wanted to help them."" (if you killed the colonists)"
Feros: The Thorian,"Report to the Council
",,,2,,"2 Paragon for saying ""I understood it.""
2 Paragon for saying ""I help everyone."" (if you saved the colonists) or ""I wanted to help them."" (if you killed the colonists)"
Feros: The Thorian,"Report to the Council
",,,2,,"2 Paragon for saying ""I help everyone."" (if you saved the colonists) or ""I wanted to help them."" (if you killed the colonists)"
Feros: The Thorian,"Ambassador Donnel Udina's Reaction at the Presidium
",Donnel Udina::male; Presidium::,,2,,"2 Paragon for saying ""That's all you care about?"""
Feros: The Thorian,"Ambassador Donnel Udina's Reaction at the Presidium
",Donnel Udina::male; Presidium::,,,2,"2 Renegade for saying ""They were expendable."""
Virmire,Virmire: Wrex and the Genophage,Virmire: Wrex and the Genophage::,,28,9,"Calm Wrex
28 Paragon for Charming ""These aren't your people!"" need 8 Charm
28 Paragon for saying ""I wouldn't do this otherwise."" or ""We are."" (must complete Wrex: Family Armor)
9 Renegade for Intimidating ""Don't be so naïve."" need 8 Intimidate"
Virmire,Virmire: Wrex and the Genophage,Virmire: Wrex and the Genophage::,,28,,"28 Paragon for Charming ""These aren't your people!"" need 8 Charm"
Virmire,Virmire: Wrex and the Genophage,Virmire: Wrex and the Genophage::,,28,,"28 Paragon for saying ""I wouldn't do this otherwise."" or ""We are."" (must complete Wrex: Family Armor)"
Virmire,Virmire: Wrex and the Genophage,Virmire: Wrex and the Genophage::,,,9,"9 Renegade for Intimidating ""Don't be so naïve."" need 8 Intimidate"
Virmire,Virmire: Wrex and the Genophage,Virmire: Wrex and the Genophage::,,2,25,"Kill Wrex
25 Renegade for ""[Shoot Wrex.]""
plus
2 Paragon for saying ""Damn it""
8 Paragon for saying ""I'm in command."" (only available if Ashley shoots Wrex, without Shepard signaling her)
plus (when speaking with Kirrahe afterwards)
2 Paragon for saying ""He was my friend."" or ""He deserves respect.""
2 Renegade for saying ""Dump him."""
Virmire,Virmire: Wrex and the Genophage,Virmire: Wrex and the Genophage::,,,25,"25 Renegade for ""[Shoot Wrex.]""
plus"
Virmire,Virmire: Wrex and the Genophage,Virmire: Wrex and the Genophage::,,2,,"2 Paragon for saying ""Damn it"""
Virmire,Virmire: Wrex and the Genophage,Virmire: Wrex and the Genophage::,,8,,"8 Paragon for saying ""I'm in command."" (only available if Ashley shoots Wrex, without Shepard signaling her)
plus (when speaking with Kirrahe afterwards)"
Virmire,Virmire: Wrex and the Genophage,Virmire: Wrex and the Genophage::,,2,,"2 Paragon for saying ""He was my friend."" or ""He deserves respect."""
Virmire,Virmire: Wrex and the Genophage,Virmire: Wrex and the Genophage::,,,2,"2 Renegade for saying ""Dump him."""
Virmire,Virmire: Assisting Kirrahe's Team,Virmire: Assisting Kirrahe's Team::,,2,,"2 Paragon for Disrupted Communications
plus"
Virmire,Virmire: Assisting Kirrahe's Team,Virmire: Assisting Kirrahe's Team::,,2,,"2 Paragon for Destroyed Satellite Uplink
plus"
Virmire,Virmire: Assisting Kirrahe's Team,Virmire: Assisting Kirrahe's Team::,,8,,"8 Paragon for Destroyed Geth Flyers
plus The Alarm"
Virmire,Virmire: Assisting Kirrahe's Team,Virmire: Assisting Kirrahe's Team::,,8,,"8 Paragon for saying ""They've got enough trouble."""
Virmire,Virmire: Assisting Kirrahe's Team,Virmire: Assisting Kirrahe's Team::,,,9,"9 Renegade for saying ""They can handle it."""
Virmire,"Cell Block B (Menos Avot)
",Menos Avot::,,8,,"8 Paragon for saying ""All right. Let him out."""
Virmire,"Cell Block B (Menos Avot)
",Menos Avot::,,,2,"2 Renegade for saying ""No."" or ""Sorry. I can't risk it."""
Virmire,"Cell Block A (Ganto Imness)
",Ganto Imness::male,,2,,"2 Paragon for saying ""I think I can trust you."" or ""I'm letting you out."""
Virmire,"Cell Block A (Ganto Imness)
",Ganto Imness::male,,2,9,"9 Renegade for saying ""I can't trust you."" then ""Too risky.""
2 Paragon for saying ""I think I can trust you."" or ""I'm letting you out.""
plus"
Virmire,"Cell Block A (Ganto Imness)
",Ganto Imness::male,,2,,"2 Paragon for saying ""I think I can trust you."" or ""I'm letting you out."""
Virmire,"Cell Block A (Ganto Imness)
",Ganto Imness::male,,2,,"2 Paragon for saying ""They're no threat."""
Virmire,"Cell Block A (Ganto Imness)
",Ganto Imness::male,,,2,"2 Renegade for saying ""Open the door and kill them."" or ""Eliminate them."""
Virmire,"Rana Thanoptis
",Rana Thanoptis::feminine,,,9,"9 Renegade for saying ""Too late."""
Virmire,"Make a Choice
",,,2,,"2 Paragon for saying ""I'm sorry."""
Virmire,"Make a Choice
",,,,2,"2 Renegade for saying ""Of course it was."""
Virmire,"Saren
",Saren::,,2,2,"""It's already happened!"" or ""You are indoctrinated.""
2 Paragon for Charming ""Join me."" need 7 Charm
2 Renegade for Intimidating ""Sovereign will betray you."" need 7 Intimidate"
Virmire,"Saren
",Saren::,,2,,"2 Paragon for Charming ""Join me."" need 7 Charm"
Virmire,"Saren
",Saren::,,,2,"2 Renegade for Intimidating ""Sovereign will betray you."" need 7 Intimidate"
Virmire,"Report to the Council
",,,2,,"2 Paragon for saying ""You need proof?"""
Virmire,"Report to the Council
",,,2,2,"2 Renegade for saying ""Screw you!""
2 Paragon for saying ""You have to trust me."""
Virmire,"Report to the Council
",,,2,,"2 Paragon for saying ""You have to trust me."""
Race Against Time: Report to the Council,"""It's Just Politics""
",,,,2,"2 Renegade for saying ""You son of a bitch."""
Race Against Time: Report to the Council,Citadel: Negotiator's Request,Citadel: Negotiator's Request::,,8,,"8 Paragon for Charming ""You need help."" need 8 Charm"
Race Against Time: Report to the Council,Citadel: Negotiator's Request,Citadel: Negotiator's Request::,,,2,"2 Renegade for Intimidating ""No. You'll go now."" need 7 Intimidate"
Race Against Time: Report to the Council,Citadel: Negotiator's Request,Citadel: Negotiator's Request::,,2,,"2 Paragon for Charming ""Then the game is wrong."" or Intimidating ""Don't be an idiot."" and then selecting ""(Give him the stimulant.)"" need 4 Charm or 3 Intimidate, respectively"
Race Against Time: Report to the Council,Citadel: Negotiator's Request,Citadel: Negotiator's Request::,,,9,"9 Renegade for ""(Give him the depressant.)"""
Race Against Time: Report to the Council,Citadel: Our Own Worst Enemy,Citadel: Our Own Worst Enemy::,,2,,"2 Paragon for saying ""I won't support you."""
Race Against Time: Report to the Council,Citadel: Our Own Worst Enemy,Citadel: Our Own Worst Enemy::,,,2,"2 Renegade for saying ""You have my support."""
Ilos: Find the Conduit,"Enter the Archives
",,,2,,"2 Paragon for saying ""That's monstrous!"" or ""You betrayed them."""
Ilos: Find the Conduit,"Enter the Archives
",,,,2,"2 Renegade for saying ""It was necessary."""
Race Against Time: Final Battle,"Save the Citadel
",,,24,,"24 Paragon for Charming ""That's not true."" need 12 Charm"
Race Against Time: Final Battle,"Save the Citadel
",,,,25,"25 Renegade for Intimidate ""It's never too late!"" need 12 Intimidate
(both choices only require 9 points if you used a Charm / Intimidate option when speaking to Saren on Virmire)"
Race Against Time: Final Battle,"The Council's Fate
",,,8,9,"8 Paragon and 9 Renegade for saying ""Concentrate on Sovereign."""
Race Against Time: Final Battle,"The Council's Fate
",,,28,,"28 Paragon for saying ""Save the Council."""
Race Against Time: Final Battle,"The Council's Fate
",,,,29,"29 Renegade for saying ""Let the Council die."""
Other Assignments,Tali and the Geth,Tali and the Geth::,,1,,"1 Paragon for saying ""All right."" or ""Take it."""
Other Assignments,Tali and the Geth,Tali and the Geth::,,,1,"1 Renegade for saying ""I can't take that risk."""
Other Assignments,UNC: Dead Scientists,UNC: Dead Scientists::,,8,,"8 Paragon for Charming ""This isn't Justice."" need 10 Charm"
Other Assignments,UNC: Dead Scientists,UNC: Dead Scientists::,,,2,"2 Renegade for ""[Shoot him]"""
Other Assignments,UNC: Dead Scientists,UNC: Dead Scientists::,,,9,"9 Renegade for Intimidating ""Let me do it."" need 8 Intimidate"
Other Assignments,UNC: ExoGeni Facility,UNC: ExoGeni Facility::,,8,,"8 Paragon for saying ""I can't do that."""
Other Assignments,UNC: ExoGeni Facility,UNC: ExoGeni Facility::,,,9,"9 Renegade for saying ""I should kill you right now!"""
Other Assignments,UNC: Geth Incursions,UNC: Geth Incursions::,,,2,"2 Renegade for saying ""I don't have time for this!"""
Other Assignments,UNC: Hades' Dogs,UNC: Hades' Dogs::,,8,,"8 Paragon for saying ""I don't trust you."" or ""No deal."""
Other Assignments,UNC: Hades' Dogs,UNC: Hades' Dogs::,,,9,"9 Renegade for saying ""Sounds good."""
Other Assignments,UNC: Hostage,UNC: Hostage::,,2,,"2 Paragon for saying ""You don't have to die."""
Other Assignments,UNC: Hostage,UNC: Hostage::,,8,,"8 Paragon for Charming ""You need Burns!"" need 6 Charm"
Other Assignments,UNC: Hostage,UNC: Hostage::,,,2,"2 Renegade for saying ""Take them down!"""
Other Assignments,UNC: Hostage,UNC: Hostage::,,,9,"9 Renegade for Intimidating ""Don't be stupid."" need 5 Intimidate"
Other Assignments,UNC: Lost Module,UNC: Lost Module::,,6,4,"6 Paragon for finding the data module without killing a space monkey
4 Renegade for killing a space monkey outside"
Other Assignments,UNC: Lost Module,UNC: Lost Module::,,,4,4 Renegade for killing a space monkey outside
Other Assignments,UNC: Lost Module,UNC: Lost Module::,,,4,4 Renegade for killing a space monkey
Other Assignments,UNC: Major Kyle,UNC: Major Kyle::,,2,,"2 Paragon for saying ""Maybe I can reason with him""
plus"
Other Assignments,UNC: Major Kyle,UNC: Major Kyle::,,2,,"2 Paragon for Charming ""He needs my help."" need 3 Charm"
Other Assignments,UNC: Major Kyle,UNC: Major Kyle::,,,2,"2 Renegade for Intimidating ""He'll get you all killed!"" need 5 Intimidate
plus"
Other Assignments,UNC: Major Kyle,UNC: Major Kyle::,,2,,"2 Paragon for saying ""I tried to help you."""
Other Assignments,UNC: Major Kyle,UNC: Major Kyle::,,8,,"8 Paragon for Charming ""You can't help them now."" need 7 Charm (or 8 Charm if opted to fight through the compound and bunker)"
Other Assignments,UNC: Major Kyle,UNC: Major Kyle::,,,2,"2 Renegade for saying ""Enough crazy talk."""
Other Assignments,UNC: Major Kyle,UNC: Major Kyle::,,,9,"9 Renegade for Intimidating ""Surrender or they all die!"" need 8 Intimidate (or 10 Intimidate if opted to fight through the compound and bunker)"
Other Assignments,UNC: Rogue VI,UNC: Rogue VI::,,,2,"2 Renegade for saying ""I've heard that before.""
plus"
Other Assignments,UNC: Rogue VI,UNC: Rogue VI::,,2,,"2 Paragon for saying ""Was anyone hurt?"""
X57: Bring Down the Sky,"Talking to Simon Atwell at Torch Station #1 Exit
",Simon Atwell::male,,2,,"2 Paragon for saying ""They're not all like this."""
X57: Bring Down the Sky,"Talking to Simon Atwell at Torch Station #1 Exit
",Simon Atwell::male,,,2,"2 Renegade for saying ""Why wouldn't they?""
or"
X57: Bring Down the Sky,"Talking to Simon Atwell at Torch Station #1 Exit
",Simon Atwell::male,,,2,"2 Renegade for saying ""That's no excuse."" after saying ""The Conventions don't apply."""
X57: Bring Down the Sky,"Talking to Charn
",Charn::,,8,,"8 Paragon for Charming ""Forget Balak."" need 2 Charm"
X57: Bring Down the Sky,"Talking to Charn
",Charn::,,8,,"8 Paragon for Intimidating ""Don't be stupid."" need 2 Intimidate"
X57: Bring Down the Sky,"Talking to Charn
",Charn::,,,9,"9 Renegade for ""[Attack him]"""
X57: Bring Down the Sky,"Talking to Balak
",Balak::,,24,,"24 Paragon for ""[Let him go to save hostages]""
After saying ""I'm not like him."" to Simon Atwell
2 Paragon for saying ""Only temporarily."""
X57: Bring Down the Sky,"Talking to Balak
",Balak::,,2,,"After saying ""I'm not like him."" to Simon Atwell
2 Paragon for saying ""Only temporarily."""
X57: Bring Down the Sky,"Talking to Balak
",Balak::,,2,,"2 Paragon for saying ""Only temporarily."""
X57: Bring Down the Sky,"Talking to Balak
",Balak::,,,25,"25 Renegade for ""[Attack him]""
[Leave him to die] or [Leave him for the alliance]
After saying ""No one could've done better."" to Simon Atwell
2 Renegade for saying ""Damn right I am.""
2 Renegade for saying ""As hard as possible."""
X57: Bring Down the Sky,"Talking to Balak
",Balak::,,,2,"[Leave him to die] or [Leave him for the alliance]
After saying ""No one could've done better."" to Simon Atwell
2 Renegade for saying ""Damn right I am.""
2 Renegade for saying ""As hard as possible."""
X57: Bring Down the Sky,"Talking to Balak
",Balak::,,,2,"After saying ""No one could've done better."" to Simon Atwell
2 Renegade for saying ""Damn right I am.""
2 Renegade for saying ""As hard as possible."""
X57: Bring Down the Sky,"Talking to Balak
",Balak::,,,2,"2 Renegade for saying ""Damn right I am."""
X57: Bring Down the Sky,"Talking to Balak
",Balak::,,,2,"2 Renegade for saying ""As hard as possible."""
Alignment Specific Assignments,UNC: Besieged Base,UNC: Besieged Base::,,,2,"2 Renegade for saying ""That's not my problem."" (won't get the assignment)"
Alignment Specific Assignments,UNC: Besieged Base,UNC: Besieged Base::,,8,,8 Paragon for 1-4 researchers killed
Alignment Specific Assignments,UNC: Besieged Base,UNC: Besieged Base::,,24,,24 Paragon for 0 researchers killed
Alignment Specific Assignments,UNC: Besieged Base,UNC: Besieged Base::,,,9,9 Renegade for 5+ researchers killed
Alignment Specific Assignments,UNC: The Negotiation,UNC: The Negotiation::,,8,,8 Paragon for completing the mission peacefully
Alignment Specific Assignments,UNC: The Negotiation,UNC: The Negotiation::,,,9,"9 Renegade for refusing to negotiate with Lord Darius and killing him and his men
25 Renegade for completing the mission violently"
Alignment Specific Assignments,UNC: The Negotiation,UNC: The Negotiation::,,,25,25 Renegade for completing the mission violently
Background Specific Assignments,Citadel: I Remember Me (Colonist),Citadel: I Remember Me::; Colonist::male or female,,8,,"8 Paragon for ""[Give her the sedative.]"""
Background Specific Assignments,Citadel: I Remember Me (Colonist),Citadel: I Remember Me::; Colonist::male or female,,,9,"9 Renegade for ""[Use the sedative]"""
Background Specific Assignments,Citadel: I Remember Me (Colonist),Citadel: I Remember Me::; Colonist::male or female,,,9,"9 Renegade for saying ""Shoot her. That's an order."""
Background Specific Assignments,Citadel: Old Friends (Earthborn),Citadel: Old Friends::; Earthborn::male or female,,2,9,"2 Paragon for saying ""I've got a warning."" or ""This changes things.""
8 Paragon for Charming ""This won't help you."" need 6 Charm
9 Renegade for Intimidating ""So what?"" or ""Do whatever you want."" need 6 Intimidate
9 Renegade for ""(Shoot him.)"""
Background Specific Assignments,Citadel: Old Friends (Earthborn),Citadel: Old Friends::; Earthborn::male or female,,8,,"8 Paragon for Charming ""This won't help you."" need 6 Charm"
Background Specific Assignments,Citadel: Old Friends (Earthborn),Citadel: Old Friends::; Earthborn::male or female,,,9,"9 Renegade for Intimidating ""So what?"" or ""Do whatever you want."" need 6 Intimidate"
Background Specific Assignments,Citadel: Old Friends (Earthborn),Citadel: Old Friends::; Earthborn::male or female,,,9,"9 Renegade for ""(Shoot him.)"""
Background Specific Assignments,Citadel: Old Friends (Earthborn),Citadel: Old Friends::; Earthborn::male or female,,,9,"9 Renegade for Charming ""I need your help."" need 8 Charm"
Background Specific Assignments,Citadel: Old Friends (Earthborn),Citadel: Old Friends::; Earthborn::male or female,,,9,"9 Renegade for Intimidating ""Make it negotiable."" or ""There won't be a sentencing."" or ""He's mine to take."" or ""I don't care. Give him to me."" need 8 Intimidate"
Background Specific Assignments,"Citadel: Old, Unhappy, Far-Off Things (Spacer)","Citadel: Old, Unhappy, Far-Off Things::; Spacer::male or female",,2,,"2 Paragon for saying ""I'll give you the money."""
Background Specific Assignments,"Citadel: Old, Unhappy, Far-Off Things (Spacer)","Citadel: Old, Unhappy, Far-Off Things::; Spacer::male or female",,8,2,"2 Renegade for saying ""You're just a drunk.""
After talking to your mother
8 Paragon for saying ""I'll give you 20 for food.""
8 Paragon for Charming ""The Veteran's Affairs Office"" need 4 Charm
2 Renegade for saying ""Screw you.""
9 Renegade for Intimidating ""No one understands! Waaah!"" need 5 Intimidate"
Background Specific Assignments,"Citadel: Old, Unhappy, Far-Off Things (Spacer)","Citadel: Old, Unhappy, Far-Off Things::; Spacer::male or female",,8,2,"After talking to your mother
8 Paragon for saying ""I'll give you 20 for food.""
8 Paragon for Charming ""The Veteran's Affairs Office"" need 4 Charm
2 Renegade for saying ""Screw you.""
9 Renegade for Intimidating ""No one understands! Waaah!"" need 5 Intimidate"
Background Specific Assignments,"Citadel: Old, Unhappy, Far-Off Things (Spacer)","Citadel: Old, Unhappy, Far-Off Things::; Spacer::male or female",,8,,"8 Paragon for saying ""I'll give you 20 for food."""
Background Specific Assignments,"Citadel: Old, Unhappy, Far-Off Things (Spacer)","Citadel: Old, Unhappy, Far-Off Things::; Spacer::male or female",,8,,"8 Paragon for Charming ""The Veteran's Affairs Office"" need 4 Charm"
Background Specific Assignments,"Citadel: Old, Unhappy, Far-Off Things (Spacer)","Citadel: Old, Unhappy, Far-Off Things::; Spacer::male or female",,,2,"2 Renegade for saying ""Screw you."""
Background Specific Assignments,"Citadel: Old, Unhappy, Far-Off Things (Spacer)","Citadel: Old, Unhappy, Far-Off Things::; Spacer::male or female",,,9,"9 Renegade for Intimidating ""No one understands! Waaah!"" need 5 Intimidate"
